codigo;componente_curricular;ch
TEC_GER_0021;Gestão Estratégica de Pessoas;60.0
TEC_GER_0022;Cálculos Trabalhistas;60.0
TEC_GER_0023;Recrutamento e Seleção 1;60.0
TEC_GER_0024;Pedagogia Empresarial 2;60.0
TEC_GER_0025;Avaliação de Desempenho e Gestão de Carreira;60.0
TEC_GER_0026;Gestão de Benefícios;60.0
TEC_GER_0027;Sistemas de Informações em RH;60.0
TEC_GER_0028;Recrutamento e Seleção 2;60.0
TEC_GER_0029;Comportamento, Clima e Cultura Organizacional;60.0
TEC_GER_0030;Negociação e Comportamento Humano;60.0
TEC_GER_0031;Avaliação e Gestão de Custos e Investimentos em RH;60.0
TEC_GER_0032;Desenvolvimento, Análise e Mapeamento de Processos;60.0
TEC_GER_0033;Fundamentos da Logística Empresarial;60.0
TEC_GER_0034;Fundamentos do Marketing;60.0
TEC_GER_0035;Tecnologias Aplicadas ao Gerenciamento de Processos;60.0
TEC_GER_0036;Fundamentos da Gestão da Produção;60.0
TEC_GER_0037;Fundamentos da Gestão Financeira;60.0
TEC_GER_0038;Utilização da IA nos Processos Gerenciais;60.0
TEC_GER_0039;Análise de Problemas e Tomada de Decisões;60.0
TEC_GER_0040;Fundamentos da Gestão da Qualidade;60.0
TEC_GER_0041;Tópicos Avançados em Processos Gerenciais;60.0
TEC_GER_0042;Sistemas de Informações Empresariais;60.0
TEC_GER_0043;Análise de Desempenho Empresarial;60.0
TEC_GER_0044;Liderança de Equipes;60.0
TEC_GER_0045;Legislação Aplicada ao uso de Tecnologias;60.0
TEC_GER_0046;Desenvolvimento de Bens e Serviços;60.0
TEC_GER_0047;Gestão de Preços;60.0
TEC_GER_0048;Princípios da Comunicação Mercadológica;60.0
TEC_GER_0049;Tecnologias Aplicadas ao Marketing;60.0
TEC_GER_0050;Análise Ambiental Aplicada às Organizações Empresariais;60.0
TEC_GER_0051;Gestão da Distribuição de Bens e Serviços;60.0
TEC_GER_0052;Gestão de Serviços e Marketing de Relacionamento;60.0
TEC_GER_0053;Gestão de Marcas;60.0
TEC_GER_0054;Utilização da IA na Gestão Estratégica de Marketing;60.0
TEC_GER_0055;Pesquisa de Mercado;60.0
TEC_GER_0056;Sistemas de Informações em Marketing;60.0
TEC_GER_0057;Gestão da Publicidade e da Propaganda;60.0
TEC_GER_0058;Comportamento do Consumidor;60.0
TEC_GER_0059;Marketing Social, Cultural e Ambiental;60.0
TEC_GER_0060;Gestão de Suprimentos;60.0
TEC_GER_0061;Gestão de Transportes e Distribuição;60.0
TEC_GER_0062;Gestão de Armazenagem;60.0
TEC_GER_0063;Gestão de Custos em Logística;60.0
TEC_GER_0064;Sistemas de Informações em Logística;60.0
TEC_GER_0065;Utilização da IA nas Operações Logísticas;60.0
TEC_GER_0066;Operações logísticas no E-commerce;60.0
TEC_GER_0067;Gestão de Compras;60.0
TEC_GER_0068;Logística Reversa;60.0
TEC_GER_0069;Logística Internacional;60.0
TEC_GER_0070;Gestão de Estoques;60.0
TEC_GER_0071;Fundamentos da Gestão Comercial;60.0
TEC_GER_0072;Tecnologias Aplicadas às Vendas;60.0
TEC_GER_0073;Técnicas de Vendas;60.0
TEC_GER_0074;Legislação Aplicada à Vendas;60.0
TEC_GER_0075;Inovação e Criatividade;60.0
TEC_GER_0076;Planejamento Estratégico de Vendas;60.0
TEC_GER_0077;Criatividade Organizacional;60.0
TEC_GER_0078;Gestão de Equipe de Vendas;60.0
TEC_OPT_0001;Disciplina Optativa 1;60.0
TEC_OPT_0002;Disciplina Optativa 2;60.0
TEC_OPT_0003;Disciplina Optativa 3;60.0
TEC_OPT_0004;Disciplina Optativa 4;60.0
TEC_OPT_0005;Disciplina Optativa 5;60.0
TEC_PRE_0001;Química Geral;40.0
TEC_PRE_0002;Noções de Direito;40.0
TEC_PRE_0003;Segurança do Trabalho e Meio Ambiente;40.0
TEC_PRE_0004;Geometria Aplicada ao Meio Ambiente;60.0
TEC_PRE_0005;Energia e Sustentabilidade;60.0
TEC_PRE_0006;Economia dos Recursos Naturais e Ambiente;60.0
TEC_PRE_0007;Química Inorgânica;40.0
TEC_PRE_0008;Biologia e Biotecnologia Aplicada;60.0
TEC_PRE_0009;Botânica Geral;40.0
TEC_PRE_0010;Geociência Ambiental;40.0
TEC_PRE_0011;Zoologia Geral;60.0
TEC_PRE_0012;Ecologia;60.0
TEC_PRE_0013;Política e Legislação Ambiental;60.0
TEC_PRE_0014;Gerenciamento de Resíduos;60.0
TEC_PRE_0015;Gestão pela Qualidade de Equipes;40.0
TEC_PRE_0016;Georreferenciamento;60.0
TEC_PRE_0017;Química Analítica;60.0
TEC_PRE_0018;Microbiologia Ambiental;40.0
TEC_PRE_0019;Química Orgânica Ambiental;40.0
TEC_PRE_0020;Limnologia;40.0
TEC_PRE_0021;Controle de Poluíção da Água;60.0
TEC_PRE_0022;Recuperação de Áreas Degradadas;60.0
TEC_PRE_0023;Controle de Poluição Atmosférica;60.0
TEC_PRE_0024;Manejo e Gerenciamento de Bacias Hidrográficas;60.0
TEC_PRE_0025;Controle de Poluição de Solo;60.0
TEC_PRE_0026;Saúde Pública e Questão Ambiental;60.0
TEC_PRE_0027;Licenciamento, Certificação e Auditoria Ambiental;100.0
TEC_PRE_0028;Gestão de Unidades de Conservação;40.0
TEC_TCC_0001;Trabalho de Conclusão de Curso;60.0
TEC_TCC_0002;Trabalho de Conclusão de Curso;80.0
TEC_TCC_0003;Trabalho de Conclusão de Curso;120.0
TEC_TCC_0004;Trabalho de Conclusão de Curso;160.0
TEC_TCC_0005;Trabalho de Conclusão de Curso;200.0
TEC_TCC_0006;Trabalho de Conclusão de Curso;240.0
TEC_TCC_0007;Trabalho de Conclusão de Curso;280.0
TEC_TCC_0008;Trabalho de Conclusão de Curso;320.0
TEC_TCC_0009;Trabalho de Conclusão de Curso;400.0
TEC_TOT_0001;Métodos para Produção do Conhecimento;60.0
TEC_TOT_0002;Saúde e Segurança no Trabalho;60.0
TEC_TOT_0003;Planejamento e Administração de Cargas;60.0
TEC_TOT_0004;Operação de Terminais e Armazéns;60.0
TEC_TOT_0005;Sistemática do Comércio Exterior;60.0
TEC_TOT_0006;Gestão da Logística de Transportes Multimodais;60.0
TEC_TOT_0007;Legislação Portuária e Aduaneira;60.0
TEC_TOT_0008;Organização e Estrutura Portuária;60.0
TEC_TOT_0009;Simulação em Operações Portuárias;60.0
TEC_TOT_0010;Gestão de Curstos e Tributos Portuários;60.0
TEC_TOT_0011;Gestão de Manutenção;60.0
TEC_TOT_0012;Sistemas de Armazenagem e Movimentação de Cargas;60.0
TEC_UNI_0001;Contabilidade;60.0
TEC_UNI_0002;Transporte e Logística;60.0
TEC_UNI_0003;Logística e Distribuição;60.0
TEC_UNI_0004;Direito Empresarial;60.0
TEC_UNI_0005;Matemática Aplicada;60.0
TEC_UNI_0006;Estatística Aplicada;60.0
TEC_UNI_0007;Introdução à Economia;60.0
TEC_UNI_0008;Gestão de Projetos;60.0
TEC_UNI_0009;Gestão da Cadeia de Suprimentos;60.0
TEC_UNI_0010;Informática Instrumental;60.0
TEC_UNI_0011;Ética e Responsabilidade Social;60.0
TEC_UNI_0012;Empreendedorismo e Inovação;60.0
TEC_UNI_0013;Gestão de Compras de Suprimentos;60.0
TEC_UNI_0014;Modelos de Gestão;60.0
TEC_UNI_0015;Gestão de Processos;60.0
TEC_UNI_0016;Gestão Ambiental e Responsabilidade Social;60.0
TEC_UNI_0017;Gestão da Qualidade;60.0
TEC_UNI_0018;Metodologia da Pesquisa Científica;60.0
TEC_UNI_0019;Ingês Instrumental;60.0
TEC_UNI_0020;Português Instrumental;60.0
TEC_UNI_0021;Matemática Financeira;60.0
TEC_UNI_0022;Matemática Discreta;80.0
TEC_UNI_0023;Gestão de Pessoas;60.0
TEC_UNI_0024;Estruturas de Dados;80.0
TEC_UNI_0026;Desenvolvimento Mobile;80.0
TEC_UNI_0027;Segurança da Informação;80.0
TEC_UNI_0028;Legislação de Informática;40.0
TEC_UNI_0029;Fundamentos de Sistemas Operacionais;80.0
TEC_UNI_0030;Modelagem Conceitual de Dados;80.0
TEC_UNI_0031;Rede de Computadores;80.0
TEC_UNI_0032;Ética;40.0
TEC_UNI_0033;Projeto Integrador 1;80.0
TEC_UNI_0034;Projeto Integrador 2;60.0
TEC_UNI_0036;Sustentabilidade Organizacional;60.0
TEC_UNI_0038;Gestão Estratégica Empresarial;60.0
TEC_UNI_0039;Práticas Gerenciais;60.0
TEC_UNI_0040;Libras;60.0
TEC_UNI_0041;Projeto Integrador 1;60.0
TEC_DSI_0112;Laboratório de Projeto Integrador II;60.0
LIC_ACC_0001;Atividades Acadêmico-Científico-Culturais;25.0
LIC_ACC_0002;Atividades Acadêmico-Científico-Culturais;50.0
LIC_ACC_0003;Atividades Acadêmico-Científico-Culturais;80.0
LIC_ACC_0004;Atividades Acadêmico-Científico-Culturais;100.0
LIC_ACC_0005;Atividades Acadêmico-Científico-Culturais;120.0
LIC_ACC_0006;Atividades Acadêmico-Científico-Culturais;140.0
LIC_ACC_0007;Atividades Acadêmico-Científico-Culturais;160.0
